County,Year,House_price
Conejos County,1997,42011.125
Conejos County,1998,45913.875
Conejos County,1999,52782.83333
Conejos County,2000,60319.375
Conejos County,2001,66502.33333
Conejos County,2002,68629.45833
Conejos County,2003,70072.80769
Conejos County,2004,71762.79167
Conejos County,2005,69128.86111
Conejos County,2006,72792.22222
Conejos County,2007,77455.33333
Conejos County,2008,75063.22917
Conejos County,2009,73046.64583
Conejos County,2010,73055.29167
Conejos County,2011,72392.5
Conejos County,2012,71250.83333
Conejos County,2013,77402.91667
Conejos County,2014,80941.60417
Conejos County,2015,89971.83333
Conejos County,2016,98238.3125
Costilla County,1997,nan
Costilla County,1998,nan
Costilla County,1999,nan
Costilla County,2000,nan
Costilla County,2001,nan
Costilla County,2002,nan
Costilla County,2003,66218
Costilla County,2004,68553.66667
Costilla County,2005,71491.08333
Costilla County,2006,75416.33333
Costilla County,2007,77226.83333
Costilla County,2008,77239.41667
Costilla County,2009,74286.58333
Costilla County,2010,73601.08333
Costilla County,2011,75225.16667
Costilla County,2012,75427.83333
Costilla County,2013,83403.27462
Costilla County,2014,81368.70833
Costilla County,2015,85957.29167
Costilla County,2016,93928.1875
Crowley County,1997,nan
Crowley County,1998,nan
Crowley County,1999,nan
Crowley County,2000,nan
Crowley County,2001,nan
Crowley County,2002,nan
Crowley County,2003,nan
Crowley County,2004,nan
Crowley County,2005,41456.85714
Crowley County,2006,40692.25
Crowley County,2007,42163.91667
Crowley County,2008,44034.66667
Crowley County,2009,42407.9697
Crowley County,2010,39721.83333
Crowley County,2011,33937.35119
Crowley County,2012,34291.3125
Crowley County,2013,37356.625
Crowley County,2014,39134.91667
Crowley County,2015,42276.14583
Crowley County,2016,45537.25
Custer County,1997,nan
Custer County,1998,nan
Custer County,1999,142360.6667
Custer County,2000,153657.1667
Custer County,2001,171968.5
Custer County,2002,173595.1667
Custer County,2003,170555.3077
Custer County,2004,168477.3333
Custer County,2005,150774.9722
Custer County,2006,149347.8333
Custer County,2007,152710.5556
Custer County,2008,152237.5278
Custer County,2009,148003.25
Custer County,2010,140697.3056
Custer County,2011,131926.25
Custer County,2012,133130.4444
Custer County,2013,142651.3333
Custer County,2014,156347.8611
Custer County,2015,168736.8611
Custer County,2016,179952.9167
Delta County,1997,99909.45833
Delta County,1998,106193.6667
Delta County,1999,117416.1667
Delta County,2000,126661.9583
Delta County,2001,137111.4583
Delta County,2002,145357
Delta County,2003,162872.6752
Delta County,2004,167772.6111
Delta County,2005,173781.0972
Delta County,2006,181971.5278
Delta County,2007,189049.9167
Delta County,2008,191379
Delta County,2009,187996.5139
Delta County,2010,185859.4722
Delta County,2011,184698
Delta County,2012,187335.7361
Delta County,2013,199705.0417
Delta County,2014,211447.9861
Delta County,2015,229343.3333
Delta County,2016,245980.4444
Denver County,1997,144211.0833
Denver County,1998,157625.3333
Denver County,1999,175471.9167
Denver County,2000,202976.3333
Denver County,2001,232443.5833
Denver County,2002,246901.75
Denver County,2003,249635.4615
Denver County,2004,254793.5833
Denver County,2005,261636.5833
Denver County,2006,266078.6667
Denver County,2007,264182.6667
Denver County,2008,249410.25
Denver County,2009,241534.1667
Denver County,2010,243144.25
Denver County,2011,233124.5833
Denver County,2012,241457.1667
Denver County,2013,267805.5
Denver County,2014,295126.8333
Denver County,2015,334190.8333
Denver County,2016,373186.75
Dolores County,1997,nan
Dolores County,1998,nan
Dolores County,1999,nan
Dolores County,2000,nan
Dolores County,2001,nan
Dolores County,2002,nan
Dolores County,2003,nan
Dolores County,2004,nan
Dolores County,2005,nan
Dolores County,2006,66368.33333
Dolores County,2007,67801.75
Dolores County,2008,70630.41667
Dolores County,2009,70696.66667
Dolores County,2010,68571.25
Dolores County,2011,68168.83333
Dolores County,2012,149669.5568
Dolores County,2013,139984.9944
Dolores County,2014,141179.4444
Dolores County,2015,145145.6389
Dolores County,2016,155149.25
Douglas County,1997,237211
Douglas County,1998,248918.6583
Douglas County,1999,269442.325
Douglas County,2000,299965.4583
Douglas County,2001,333321.9833
Douglas County,2002,344198.6167
Douglas County,2003,350817.1615
Douglas County,2004,360330.7833
Douglas County,2005,375187.7667
Douglas County,2006,387729.275
Douglas County,2007,390944.5333
Douglas County,2008,376167.65
Douglas County,2009,355795.9083
Douglas County,2010,351189.325
Douglas County,2011,345472.35
Douglas County,2012,356044.0833
Douglas County,2013,391405.2348
Douglas County,2014,416145.0833
Douglas County,2015,448269.5379
Douglas County,2016,483301.8712
Eagle County,1997,352306.9271
Eagle County,1998,371096.6563
Eagle County,1999,413701.9479
Eagle County,2000,445860.9792
Eagle County,2001,467242.9688
Eagle County,2002,465369.1042
Eagle County,2003,476061.5962
Eagle County,2004,497978.0104
Eagle County,2005,539251.6238
Eagle County,2006,630730.85
Eagle County,2007,694304.8667
Eagle County,2008,708873.9167
Eagle County,2009,661011.5076
Eagle County,2010,636962.4924
Eagle County,2011,550637.5379
Eagle County,2012,532394.2045
Eagle County,2013,535434.7045
Eagle County,2014,590663.6364
Eagle County,2015,627296.3409
Eagle County,2016,648338.4394
El Paso County,1997,148008.7361
El Paso County,1998,155517.5139
El Paso County,1999,172000.9615
El Paso County,2000,181790.1667
El Paso County,2001,197871.5893
El Paso County,2002,208476.7381
El Paso County,2003,216705.7527
El Paso County,2004,225299.7976
El Paso County,2005,236828.4583
El Paso County,2006,247969.3333
El Paso County,2007,253528.8988
El Paso County,2008,244615.6071
El Paso County,2009,230627.85
El Paso County,2010,230959.5667
El Paso County,2011,223447.5
El Paso County,2012,225518.2833
El Paso County,2013,232865.8056
El Paso County,2014,242182.0111
El Paso County,2015,256549.4333
El Paso County,2016,275523.0667
Elbert County,1997,178118.25
Elbert County,1998,191820.7083
Elbert County,1999,222439.5417
Elbert County,2000,249844.2083
Elbert County,2001,182182.4583
Elbert County,2002,189146.25
Elbert County,2003,193470.2308
Elbert County,2004,203304.25
Elbert County,2005,217182.75
Elbert County,2006,224496.8667
Elbert County,2007,225258.6833
Elbert County,2008,218239.5833
Elbert County,2009,214001.6167
Elbert County,2010,210261.2333
Elbert County,2011,205011.8833
Elbert County,2012,205649.5667
Elbert County,2013,217627.6
Elbert County,2014,235147.6667
Elbert County,2015,261151.05
Elbert County,2016,283017.6333
Fremont County,1997,nan
Fremont County,1998,nan
Fremont County,1999,nan
Fremont County,2000,nan
Fremont County,2001,nan
Fremont County,2002,nan
Fremont County,2003,nan
Fremont County,2004,nan
Fremont County,2005,154187.8917
Fremont County,2006,156377.25
Fremont County,2007,150672.0833
Fremont County,2008,150391.3333
Fremont County,2009,148676.2917
Fremont County,2010,147782.6667
Fremont County,2011,152922.6389
Fremont County,2012,164130.9167
Fremont County,2013,170447.9167
Fremont County,2014,187640.6389
Fremont County,2015,170941.3167
Fremont County,2016,184140.625
Garfield County,1997,nan
Garfield County,1998,nan
Garfield County,1999,nan
Garfield County,2000,nan
Garfield County,2001,nan
Garfield County,2002,nan
Garfield County,2003,nan
Garfield County,2004,nan
Garfield County,2005,nan
Garfield County,2006,nan
Garfield County,2007,nan
Garfield County,2008,nan
Garfield County,2009,nan
Garfield County,2010,nan
Garfield County,2011,nan
Garfield County,2012,nan
Garfield County,2013,263524.3611
Garfield County,2014,278556.0694
Garfield County,2015,329738.9028
Garfield County,2016,337179.2361
Gilpin County,1997,nan
Gilpin County,1998,nan
Gilpin County,1999,172029.2593
Gilpin County,2000,190856.4167
Gilpin County,2001,206269.6111
Gilpin County,2002,209393.8056
Gilpin County,2003,205072.8205
Gilpin County,2004,211471.3889
Gilpin County,2005,213921.6667
Gilpin County,2006,248465.9
Gilpin County,2007,238148.8958
Gilpin County,2008,231578.6875
Gilpin County,2009,227155.25
Gilpin County,2010,217716.5833
Gilpin County,2011,209717.7708
Gilpin County,2012,212760.0833
Gilpin County,2013,222190.8958
Gilpin County,2014,240470.5417
Gilpin County,2015,260308.625
Gilpin County,2016,275615.375
Grand County,1997,137932.1111
Grand County,1998,150467.3889
Grand County,1999,156296.7429
Grand County,2000,178367.0238
Grand County,2001,198115.6071
Grand County,2002,206926.0833
Grand County,2003,211887.6374
Grand County,2004,220536.9881
Grand County,2005,234351.2024
Grand County,2006,246002.5595
Grand County,2007,250130.1548
Grand County,2008,266934.8229
Grand County,2009,261629.1354
Grand County,2010,253054.6042
Grand County,2011,245798.9688
Grand County,2012,246120.4062
Grand County,2013,258934.9583
Grand County,2014,280314.2813
Grand County,2015,303932.1771
Grand County,2016,322477.375
Gunnison County,1997,168091.9167
Gunnison County,1998,150735.5333
Gunnison County,1999,161390.4241
Gunnison County,2000,178847.6574
Gunnison County,2001,190909.2639
Gunnison County,2002,200254.3083
Gunnison County,2003,205919.1308
Gunnison County,2004,215512.0917
Gunnison County,2005,224556.4924
Gunnison County,2006,233573.0682
Gunnison County,2007,241442.7727
Gunnison County,2008,241200.7879
Gunnison County,2009,233310.6818
Gunnison County,2010,224516.1515
Gunnison County,2011,221402.7803
Gunnison County,2012,220403.1288
Gunnison County,2013,229856.0909
Gunnison County,2014,245070.0758
Gunnison County,2015,265975.2045
Gunnison County,2016,289819.5909
Hinsdale County,1997,nan
Hinsdale County,1998,nan
Hinsdale County,1999,nan
Hinsdale County,2000,nan
Hinsdale County,2001,nan
Hinsdale County,2002,nan
Hinsdale County,2003,nan
Hinsdale County,2004,nan
Hinsdale County,2005,nan
Hinsdale County,2006,nan
Hinsdale County,2007,nan
Hinsdale County,2008,nan
Hinsdale County,2009,nan
Hinsdale County,2010,nan
Hinsdale County,2011,nan
Hinsdale County,2012,nan
Hinsdale County,2013,nan
Hinsdale County,2014,nan
Hinsdale County,2015,278630.4167
Hinsdale County,2016,312527.1667
Huerfano County,1997,nan
Huerfano County,1998,nan
Huerfano County,1999,nan
Huerfano County,2000,nan
Huerfano County,2001,nan
Huerfano County,2002,nan
Huerfano County,2003,nan
Huerfano County,2004,nan
Huerfano County,2005,69702.16667
Huerfano County,2006,70753
Huerfano County,2007,73093.58333
Huerfano County,2008,71725
Huerfano County,2009,67608.5
Huerfano County,2010,65739.83333
Huerfano County,2011,62117.08333
Huerfano County,2012,62458.58333
Huerfano County,2013,104514.4583
Huerfano County,2014,106834.6667
Huerfano County,2015,137641.5556
Huerfano County,2016,146479.9167
Jackson County,1997,nan
Jackson County,1998,nan
Jackson County,1999,nan
Jackson County,2000,nan
Jackson County,2001,nan
Jackson County,2002,nan
Jackson County,2003,nan
Jackson County,2004,nan
Jackson County,2005,nan
Jackson County,2006,nan
Jackson County,2007,nan
Jackson County,2008,131390.1667
Jackson County,2009,138595.1667
Jackson County,2010,140027.1667
Jackson County,2011,132497
Jackson County,2012,137459
Jackson County,2013,140148.4167
Jackson County,2014,150468.5
Jackson County,2015,149385.4583
Jackson County,2016,156474.8333
Jefferson County,1997,168882.925
Jefferson County,1998,180503.9542
Jefferson County,1999,198950.0917
Jefferson County,2000,223472.3417
Jefferson County,2001,250818.8333
Jefferson County,2002,263571.0083
Jefferson County,2003,269259.2038
Jefferson County,2004,274544.525
Jefferson County,2005,282217.5375
Jefferson County,2006,289608.5583
Jefferson County,2007,291181.1708
Jefferson County,2008,290451.1042
Jefferson County,2009,278180.4643
Jefferson County,2010,273120.0238
Jefferson County,2011,262681.7659
Jefferson County,2012,267966.123
Jefferson County,2013,292693.9683
Jefferson County,2014,315375.6746
Jefferson County,2015,350714.1349
Jefferson County,2016,390321.0317
Kiowa County,1997,nan
Kiowa County,1998,nan
Kiowa County,1999,nan
Kiowa County,2000,nan
Kiowa County,2001,nan
Kiowa County,2002,nan
Kiowa County,2003,nan
Kiowa County,2004,nan
Kiowa County,2005,nan
Kiowa County,2006,nan
Kiowa County,2007,nan
Kiowa County,2008,38520.33333
Kiowa County,2009,40106.54167
Kiowa County,2010,38644.375
Kiowa County,2011,38154.91667
Kiowa County,2012,40056.16667
Kiowa County,2013,42070.54167
Kiowa County,2014,45498.83333
Kiowa County,2015,54240.83333
Kiowa County,2016,57565.86111
Kit Carson County,1997,nan
Kit Carson County,1998,nan
Kit Carson County,1999,nan
Kit Carson County,2000,nan
Kit Carson County,2001,nan
Kit Carson County,2002,nan
Kit Carson County,2003,nan
Kit Carson County,2004,nan
Kit Carson County,2005,nan
Kit Carson County,2006,nan
Kit Carson County,2007,nan
Kit Carson County,2008,nan
Kit Carson County,2009,nan
Kit Carson County,2010,92904.16667
Kit Carson County,2011,88159.88889
Kit Carson County,2012,89747.36111
Kit Carson County,2013,95668.15278
Kit Carson County,2014,97790.69444
Kit Carson County,2015,105127.4861
Kit Carson County,2016,116252.2639
La Plata County,1997,nan
La Plata County,1998,nan
La Plata County,1999,nan
La Plata County,2000,nan
La Plata County,2001,nan
La Plata County,2002,nan
La Plata County,2003,nan
La Plata County,2004,nan
La Plata County,2005,245269.3936
La Plata County,2006,265438.2083
La Plata County,2007,283786.8542
La Plata County,2008,290756
La Plata County,2009,284823.0833
La Plata County,2010,277736.8542
La Plata County,2011,269726.7292
La Plata County,2012,271776.6458
La Plata County,2013,287764.5625
La Plata County,2014,309191.875
La Plata County,2015,322952.8542
La Plata County,2016,332849.8333
Lake County,1997,nan
Lake County,1998,94296.71429
Lake County,1999,92535.08333
Lake County,2000,101891.6667
Lake County,2001,111823.8333
Lake County,2002,119802.25
Lake County,2003,129876.0769
Lake County,2004,138376.1667
Lake County,2005,175889.3542
Lake County,2006,186695.7917
Lake County,2007,194203.0833
Lake County,2008,200093.625
Lake County,2009,198471.9583
Lake County,2010,189392.2083
Lake County,2011,182891.2083
Lake County,2012,185266.9583
Lake County,2013,198294.8333
Lake County,2014,211962.7083
Lake County,2015,226641.1667
Lake County,2016,240378.1667
Larimer County,1997,173615.2045
Larimer County,1998,184240.803
Larimer County,1999,199210.9242
Larimer County,2000,217719.1591
Larimer County,2001,243677.8409
Larimer County,2002,258541.4621
Larimer County,2003,265097.2238
Larimer County,2004,272878.1667
Larimer County,2005,276483.5303
Larimer County,2006,283945.9091
Larimer County,2007,283406.1288
Larimer County,2008,273503.8182
Larimer County,2009,265617.7955
Larimer County,2010,259236.4167
Larimer County,2011,254630.6136
Larimer County,2012,257094.1894
Larimer County,2013,268725.5909
Larimer County,2014,283766.8636
Larimer County,2015,308109.7045
Larimer County,2016,339941.1894
Las Animas County,1997,60581.58333
Las Animas County,1998,62744.91667
Las Animas County,1999,91268.83333
Las Animas County,2000,90804.27778
Las Animas County,2001,93177.30556
Las Animas County,2002,91639.59583
Las Animas County,2003,95815.34615
Las Animas County,2004,90276.32222
Las Animas County,2005,87798.72222
Las Animas County,2006,91148.47222
Las Animas County,2007,94547.26389
Las Animas County,2008,93955.64286
Las Animas County,2009,90713.69048
Las Animas County,2010,88551.69048
Las Animas County,2011,87051.70238
Las Animas County,2012,89011.71429
Las Animas County,2013,94546.52381
Las Animas County,2014,101372.9762
Las Animas County,2015,108349.1042
Las Animas County,2016,116068.7396
Lincoln County,1997,63841.83333
Lincoln County,1998,65550.95833
Lincoln County,1999,68027.35417
Lincoln County,2000,75840.22917
Lincoln County,2001,79885.75
Lincoln County,2002,80338.89583
Lincoln County,2003,79963.98077
Lincoln County,2004,81575.95833
Lincoln County,2005,83289.99333
Lincoln County,2006,83515.68333
Lincoln County,2007,82632.26667
Lincoln County,2008,80801.25
Lincoln County,2009,76324.35
Lincoln County,2010,74386.2
Lincoln County,2011,72369.18333
Lincoln County,2012,74629.13333
Lincoln County,2013,80174.61667
Lincoln County,2014,86283.41667
Lincoln County,2015,92781.9
Lincoln County,2016,102717.3167
Logan County,1997,72960.94444
Logan County,1998,79933.7881
Logan County,1999,85438.86458
Logan County,2000,91834.46875
Logan County,2001,98869.33333
Logan County,2002,102061.6563
Logan County,2003,104710.7404
Logan County,2004,109694.9583
Logan County,2005,113536.8438
Logan County,2006,114941.7813
Logan County,2007,116086.8125
Logan County,2008,116147.8438
Logan County,2009,114699.1875
Logan County,2010,112213.8958
Logan County,2011,108275.5938
Logan County,2012,111105.2292
Logan County,2013,117859.0417
Logan County,2014,130196.2083
Logan County,2015,145578.5417
Logan County,2016,163543.8438
Mesa County,1997,134774.4833
Mesa County,1998,142418.7083
Mesa County,1999,157621.5583
Mesa County,2000,166699.4417
Mesa County,2001,169531.4833
Mesa County,2002,177587.9318
Mesa County,2003,194221.5534
Mesa County,2004,211352.3472
Mesa County,2005,230352.5694
Mesa County,2006,256375.9861
Mesa County,2007,287447.5417
Mesa County,2008,297183.2361
Mesa County,2009,279753.3264
Mesa County,2010,253203.375
Mesa County,2011,230712.8125
Mesa County,2012,235587.0417
Mesa County,2013,232484.8889
Mesa County,2014,236560.1389
Mesa County,2015,249911.0069
Mesa County,2016,263267.2153
Mineral County,1997,nan
Mineral County,1998,nan
Mineral County,1999,nan
Mineral County,2000,nan
Mineral County,2001,nan
Mineral County,2002,nan
Mineral County,2003,nan
Mineral County,2004,nan
Mineral County,2005,nan
Mineral County,2006,nan
Mineral County,2007,nan
Mineral County,2008,nan
Mineral County,2009,nan
Mineral County,2010,nan
Mineral County,2011,nan
Mineral County,2012,nan
Mineral County,2013,nan
Mineral County,2014,242925
Mineral County,2015,239164.75
Mineral County,2016,247362.4167
Moffat County,1997,73639.41667
Moffat County,1998,127472.3214
Moffat County,1999,106200.5208
Moffat County,2000,104099.25
Moffat County,2001,101029.2292
Moffat County,2002,105032.5625
Moffat County,2003,109046.9808
Moffat County,2004,111227.1667
Moffat County,2005,117692.5208
Moffat County,2006,124873
Moffat County,2007,128491.9583
Moffat County,2008,130505.1667
Moffat County,2009,131551.0625
Moffat County,2010,128827.5417
Moffat County,2011,127443.6667
Moffat County,2012,130747.1875
Moffat County,2013,136091.9583
Moffat County,2014,147049.2708
Moffat County,2015,161280.7708
Moffat County,2016,175636.8958
Montezuma County,1997,120479.2917
Montezuma County,1998,128173.5833
Montezuma County,1999,135163.15
Montezuma County,2000,149950.9333
Montezuma County,2001,161259.95
Montezuma County,2002,164478.0333
Montezuma County,2003,163562.6923
Montezuma County,2004,172600.3389
Montezuma County,2005,185115.9306
Montezuma County,2006,187744.3472
Montezuma County,2007,192138.7778
Montezuma County,2008,194368.2639
Montezuma County,2009,192663.9722
Montezuma County,2010,188749.0278
Montezuma County,2011,181641.25
Montezuma County,2012,180871.4444
Montezuma County,2013,192313.1944
Montezuma County,2014,208331.8194
Montezuma County,2015,226954.75
Montezuma County,2016,240841.7917
Montrose County,1997,91023.95833
Montrose County,1998,95237.625
Montrose County,1999,103758.5208
Montrose County,2000,109983.5
Montrose County,2001,114420.625
Montrose County,2002,118961.7917
Montrose County,2003,123986.7308
Montrose County,2004,130463.6875
Montrose County,2005,135030.0417
Montrose County,2006,137067.0139
Montrose County,2007,144602.4306
Montrose County,2008,144470.4861
Montrose County,2009,144000.625
Montrose County,2010,143943.5694
Montrose County,2011,141450.625
Montrose County,2012,142446.4583
Montrose County,2013,151909.5278
Montrose County,2014,159751.6806
Montrose County,2015,168137.8889
Montrose County,2016,172552.6944
Morgan County,1997,85901.8
Morgan County,1998,92843.16667
Morgan County,1999,103075.2333
Morgan County,2000,112798.5
Morgan County,2001,125035.6667
Morgan County,2002,134049.85
Morgan County,2003,136970.8154
Morgan County,2004,145758.332
Morgan County,2005,146800.1905
Morgan County,2006,143406.1667
Morgan County,2007,139871.25
Morgan County,2008,123662.3021
Morgan County,2009,120482.1771
Morgan County,2010,114375.7083
Morgan County,2011,110758.25
Morgan County,2012,113199.7708
Morgan County,2013,122035.4167
Morgan County,2014,133163.2396
Morgan County,2015,150055.2396
Morgan County,2016,165646.9583
Otero County,1997,nan
Otero County,1998,nan
Otero County,1999,nan
Otero County,2000,nan
Otero County,2001,nan
Otero County,2002,nan
Otero County,2003,71978.66667
Otero County,2004,70044
Otero County,2005,59708.35556
Otero County,2006,60848.73333
Otero County,2007,60715.65
Otero County,2008,60304.68333
Otero County,2009,59386.56667
Otero County,2010,57512.28333
Otero County,2011,56301.66667
Otero County,2012,56331.38333
Otero County,2013,59813.86667
Otero County,2014,64046.05
Otero County,2015,69324.03333
Otero County,2016,75020.46667
Ouray County,1997,168263.3333
Ouray County,1998,179442.6667
Ouray County,1999,197324.5833
Ouray County,2000,217402.8333
Ouray County,2001,228552.5417
Ouray County,2002,243715.5
Ouray County,2003,249609.1538
Ouray County,2004,262206.8333
Ouray County,2005,290362.125
Ouray County,2006,325194.25
Ouray County,2007,339501.0417
Ouray County,2008,343153.375
Ouray County,2009,335113.4583
Ouray County,2010,321750.875
Ouray County,2011,314409.375
Ouray County,2012,317914.3333
Ouray County,2013,334405.875
Ouray County,2014,356617.9583
Ouray County,2015,376844.625
Ouray County,2016,396263.375
Park County,1997,124899.2708
Park County,1998,132908.5833
Park County,1999,144624.4792
Park County,2000,163617.2083
Park County,2001,176358.4479
Park County,2002,183412.3646
Park County,2003,188102.7404
Park County,2004,195252.8438
Park County,2005,206443.9583
Park County,2006,214209.9167
Park County,2007,219861.125
Park County,2008,217588.2292
Park County,2009,212494.8438
Park County,2010,207440.5313
Park County,2011,200719.4063
Park County,2012,202165.5625
Park County,2013,214352.7187
Park County,2014,231363.5208
Park County,2015,251667.0417
Park County,2016,272670.1458
Phillips County,1997,nan
Phillips County,1998,nan
Phillips County,1999,nan
Phillips County,2000,nan
Phillips County,2001,nan
Phillips County,2002,nan
Phillips County,2003,nan
Phillips County,2004,nan
Phillips County,2005,nan
Phillips County,2006,nan
